ts,counter_name,generation_tokens_total,decode_tokens_delta,decode_tok_s,telemetry_ts,gpu_util_pct,vram_used_mib,power_w,temp_c,cpu_util_pct,ram_used_gib
2026-06-12T20:24:31+05:30,vllm:generation_tokens_total,11065,776,776.000,2026-06-12T20:24:31+05:30,100.000,22217.000,366.840,63.000,56.900,29.296
2026-06-12T20:24:32+05:30,vllm:generation_tokens_total,11809,744,744.000,2026-06-12T20:24:32+05:30,100.000,22217.000,374.070,64.000,56.400,29.299
2026-06-12T20:24:33+05:30,vllm:generation_tokens_total,12409,600,600.000,2026-06-12T20:24:33+05:30,100.000,22217.000,370.410,64.000,58.400,29.209
2026-06-12T20:24:34+05:30,vllm:generation_tokens_total,13265,856,856.000,2026-06-12T20:24:34+05:30,100.000,22217.000,352.070,61.000,63.900,29.285
2026-06-12T20:24:35+05:30,vllm:generation_tokens_total,14113,848,848.000,2026-06-12T20:24:35+05:30,100.000,22217.000,311.640,64.000,53.000,29.281
2026-06-12T20:24:36+05:30,vllm:generation_tokens_total,14921,808,808.000,2026-06-12T20:24:36+05:30,100.000,22217.000,366.170,65.000,57.000,29.264
2026-06-12T20:24:37+05:30,vllm:generation_tokens_total,15705,784,784.000,2026-06-12T20:24:37+05:30,100.000,22217.000,372.520,65.000,54.000,29.284
2026-06-12T20:24:38+05:30,vllm:generation_tokens_total,16384,679,679.000,2026-06-12T20:24:38+05:30,100.000,22217.000,370.980,65.000,54.400,29.289
2026-06-12T20:24:39+05:30,vllm:generation_tokens_total,17121,737,737.000,2026-06-12T20:24:39+05:30,100.000,22217.000,370.780,66.000,59.200,29.312
2026-06-12T20:24:40+05:30,vllm:generation_tokens_total,17937,816,816.000,2026-06-12T20:24:40+05:30,65.000,22217.000,316.100,65.000,53.400,29.244
2026-06-12T20:24:41+05:30,vllm:generation_tokens_total,18761,824,824.000,2026-06-12T20:24:41+05:30,95.000,22217.000,368.190,66.000,52.700,29.276
2026-06-12T20:24:42+05:30,vllm:generation_tokens_total,19545,784,784.000,2026-06-12T20:24:42+05:30,100.000,22217.000,372.910,66.000,58.300,29.276
2026-06-12T20:24:43+05:30,vllm:generation_tokens_total,20225,680,680.000,2026-06-12T20:24:43+05:30,100.000,22217.000,373.180,67.000,53.800,29.334
2026-06-12T20:24:44+05:30,vllm:generation_tokens_total,20897,672,672.000,2026-06-12T20:24:44+05:30,100.000,22217.000,362.730,65.000,58.800,29.348
2026-06-12T20:24:45+05:30,vllm:generation_tokens_total,21721,824,824.000,2026-06-12T20:24:45+05:30,100.000,22217.000,310.190,66.000,50.700,29.308
2026-06-12T20:24:46+05:30,vllm:generation_tokens_total,22537,816,816.000,2026-06-12T20:24:46+05:30,100.000,22217.000,364.250,67.000,50.200,29.308
2026-06-12T20:24:47+05:30,vllm:generation_tokens_total,23337,800,800.000,2026-06-12T20:24:47+05:30,100.000,22217.000,375.740,67.000,53.200,29.348
2026-06-12T20:24:48+05:30,vllm:generation_tokens_total,24089,752,752.000,2026-06-12T20:24:48+05:30,100.000,22217.000,377.100,68.000,51.900,29.268
2026-06-12T20:24:49+05:30,vllm:generation_tokens_total,24737,648,648.000,2026-06-12T20:24:49+05:30,100.000,22217.000,375.150,68.000,53.200,29.340
2026-06-12T20:24:50+05:30,vllm:generation_tokens_total,25593,856,856.000,2026-06-12T20:24:50+05:30,95.000,22217.000,365.240,65.000,52.900,29.370
2026-06-12T20:24:51+05:30,vllm:generation_tokens_total,26417,824,824.000,2026-06-12T20:24:51+05:30,100.000,22217.000,334.990,68.000,49.000,29.307
2026-06-12T20:24:52+05:30,vllm:generation_tokens_total,27233,816,816.000,2026-06-12T20:24:52+05:30,100.000,22217.000,374.180,68.000,50.300,29.322
2026-06-12T20:24:53+05:30,vllm:generation_tokens_total,28009,776,776.000,2026-06-12T20:24:53+05:30,100.000,22217.000,376.130,68.000,51.700,29.265
2026-06-12T20:24:54+05:30,vllm:generation_tokens_total,28672,663,663.000,2026-06-12T20:24:54+05:30,100.000,22217.000,371.250,69.000,65.100,29.255
2026-06-12T20:24:55+05:30,vllm:generation_tokens_total,29369,697,697.000,2026-06-12T20:24:55+05:30,100.000,22217.000,374.660,69.000,59.000,29.271
2026-06-12T20:24:56+05:30,vllm:generation_tokens_total,30201,832,832.000,2026-06-12T20:24:56+05:30,29.000,22217.000,302.000,68.000,56.300,29.204
2026-06-12T20:24:57+05:30,vllm:generation_tokens_total,31017,816,816.000,2026-06-12T20:24:57+05:30,100.000,22217.000,373.610,69.000,54.300,29.230
2026-06-12T20:24:58+05:30,vllm:generation_tokens_total,31801,784,784.000,2026-06-12T20:24:58+05:30,100.000,22217.000,378.970,70.000,56.500,29.216
2026-06-12T20:24:59+05:30,vllm:generation_tokens_total,32545,744,744.000,2026-06-12T20:24:59+05:30,100.000,22217.000,379.430,70.000,58.500,29.209
2026-06-12T20:25:00+05:30,vllm:generation_tokens_total,33217,672,672.000,2026-06-12T20:25:00+05:30,100.000,22217.000,380.010,70.000,54.400,29.210
2026-06-12T20:25:01+05:30,vllm:generation_tokens_total,34057,840,840.000,2026-06-12T20:25:01+05:30,100.000,22217.000,335.710,69.000,57.200,29.235
2026-06-12T20:25:02+05:30,vllm:generation_tokens_total,34881,824,824.000,2026-06-12T20:25:02+05:30,100.000,22217.000,370.930,70.000,59.400,29.245
2026-06-12T20:25:03+05:30,vllm:generation_tokens_total,35673,792,792.000,2026-06-12T20:25:03+05:30,100.000,22217.000,378.600,70.000,58.600,29.250
2026-06-12T20:25:04+05:30,vllm:generation_tokens_total,36393,720,720.000,2026-06-12T20:25:04+05:30,100.000,22217.000,378.770,70.000,69.100,29.233
2026-06-12T20:25:05+05:30,vllm:generation_tokens_total,36864,471,471.000,2026-06-12T20:25:05+05:30,100.000,22217.000,378.480,70.000,57.100,29.197
2026-06-12T20:25:06+05:30,vllm:generation_tokens_total,37713,849,849.000,2026-06-12T20:25:06+05:30,47.000,22217.000,326.480,70.000,55.400,29.157
2026-06-12T20:25:07+05:30,vllm:generation_tokens_total,38545,832,832.000,2026-06-12T20:25:07+05:30,100.000,22217.000,332.630,70.000,56.200,29.206
2026-06-12T20:25:08+05:30,vllm:generation_tokens_total,39353,808,808.000,2026-06-12T20:25:08+05:30,100.000,22217.000,374.390,70.000,57.600,29.234
2026-06-12T20:25:09+05:30,vllm:generation_tokens_total,40153,800,800.000,2026-06-12T20:25:09+05:30,100.000,22217.000,378.840,71.000,62.400,29.217
